"rank","source_city","source_country","source_lat","source_lon","target_city","target_country","target_lat","target_lon","target_region"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"Key West","United States",24.57579994,-81.68890381,"N. America"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"Freeport","Bahamas",26.5587005615,-78.695602417,"Caribbean"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"Great Exuma","Bahamas",23.5625991821,-75.8779983521,"Caribbean"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"Governor's Harbor","Bahamas",25.2847003937,-76.3310012817,"Caribbean"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"Orlando","United States",28.545499801636,-81.332901000977,"N. America"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"Marsh Harbor","Bahamas",26.5114002228,-77.0835037231,"Caribbean"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"Treasure Cay","Bahamas",26.745300293,-77.3912963867,"Caribbean"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"Tampa","United States",27.9755001068115,-82.533203125,"N. America"
55,"055. Orlando","United States",28.545499801636,-81.332901000977,"Fort Lauderdale","United States",26.1972999573,-80.1707000732,"N. America"
55,"055. Orlando","United States",28.545499801636,-81.332901000977,"Gainesville","United States",29.6900997162,-82.2717971802,"N. America"
55,"055. Orlando","United States",28.545499801636,-81.332901000977,"Macon","United States",45.1267013549805,-87.6383972167969,"N. America"
55,"055. Orlando","United States",28.545499801636,-81.332901000977,"Marsh Harbor","Bahamas",26.5114002228,-77.0835037231,"Caribbean"
55,"055. Orlando","United States",28.545499801636,-81.332901000977,"Pensacola","United States",30.35269928,-87.31860352,"N. America"
55,"055. Orlando","United States",28.545499801636,-81.332901000977,"Fort Myers","United States",26.58659935,-81.8632965088,"N. America"
55,"055. Orlando","United States",28.545499801636,-81.332901000977,"Tallahassee","United States",30.3964996337891,-84.3503036499023,"N. America"
13,"013. Amsterdam","Netherlands",52.3086013794,4.76388978958,"El Aroui","Morocco",34.9888000488,-3.0282099247,"N. Africa"
13,"013. Amsterdam","Netherlands",52.3086013794,4.76388978958,"Tanger","Morocco",35.7268981934,-5.91689014435,"N. Africa"
20,"020. Barcelona","Spain",41.297100067139,2.0784599781036,"Casablanca","Morocco",33.3675003051758,-7.58997011184692,"N. Africa"
20,"020. Barcelona","Spain",41.297100067139,2.0784599781036,"El Aroui","Morocco",34.9888000488,-3.0282099247,"N. Africa"
20,"020. Barcelona","Spain",41.297100067139,2.0784599781036,"Tanger","Morocco",35.7268981934,-5.91689014435,"N. Africa"
30,"030. Brussels","Belgium",50.9014015198,4.48443984985,"Casablanca","Morocco",33.3675003051758,-7.58997011184692,"N. Africa"
30,"030. Brussels","Belgium",50.9014015198,4.48443984985,"El Aroui","Morocco",34.9888000488,-3.0282099247,"N. Africa"
30,"030. Brussels","Belgium",50.9014015198,4.48443984985,"Tanger","Morocco",35.7268981934,-5.91689014435,"N. Africa"
1,"001. London","United Kingdom",51.874698638916,-0.368333011865616,"Casablanca","Morocco",33.3675003051758,-7.58997011184692,"N. Africa"
1,"001. London","United Kingdom",51.874698638916,-0.368333011865616,"Tanger","Morocco",35.7268981934,-5.91689014435,"N. Africa"
42,"042. Palma de Mallorca","Spain",39.551700592,2.73881006241,"El Aroui","Morocco",34.9888000488,-3.0282099247,"N. Africa"
9,"009. Istanbul","Turkey",40.9768981934,28.8145999908,"Casablanca","Morocco",33.3675003051758,-7.58997011184692,"N. Africa"
7,"007. Moscow","Russia",55.972599,37.4146,"Astrakhan","Russia",46.2832984924,48.0063018799,"E. Europe"
7,"007. Moscow","Russia",55.972599,37.4146,"Bukhara","Uzbekistan",39.7750015258789,64.4832992553711,"C. Asia"
7,"007. Moscow","Russia",55.972599,37.4146,"Belgorod","Russia",50.643798828125,36.5900993347168,"E. Europe"
7,"007. Moscow","Russia",55.972599,37.4146,"Fergana","Uzbekistan",40.3587989807,71.7450027466,"C. Asia"
7,"007. Moscow","Russia",55.972599,37.4146,"Khanabad","Uzbekistan",38.8335990906,65.9215011597,"C. Asia"
7,"007. Moscow","Russia",55.972599,37.4146,"Namangan","Uzbekistan",40.9846000671,71.5567016602,"C. Asia"
7,"007. Moscow","Russia",55.972599,37.4146,"Navoi","Uzbekistan",40.1171989440918,65.1707992553711,"C. Asia"
7,"007. Moscow","Russia",55.972599,37.4146,"Samarkand","Uzbekistan",39.7005004882812,66.9838027954102,"C. Asia"
7,"007. Moscow","Russia",55.972599,37.4146,"Tivat","Montenegro",42.4047012329102,18.7233009338379,"S. Europe"
