"source_city","source_country","source_lat","source_lon","target_city","target_country","target_lat","target_lon","target_region"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Minneapolis","United States",44.8819999695,-93.2218017578,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Roanoke VA","United States",37.3255004883,-79.975402832,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Syracuse","United States",43.111198425293,-76.1063003540039,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Knoxville","United States",35.81100082,-83.9940033,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Bentonville","United States",36.281898,-94.306801,"N. America"
"New York","United States",40.77719879,-73.87259674,"New Orleans","United States",29.82530022,-90.03500366,"N. America"
"New York","United States",40.77719879,-73.87259674,"New Orleans","United States",29.82530022,-90.03500366,"N. America"
"Moscow","Russia",55.972599,37.4146,"Chisinau","Moldova",46.9277000427246,28.9309997558594,"E. Europe"
"Frankfurt","Germany",50.0333333,8.5705556,"Chisinau","Moldova",46.9277000427246,28.9309997558594,"E. Europe"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Chisinau","Moldova",46.9277000427246,28.9309997558594,"E. Europe"
"London","United Kingdom",51.874698638916,-0.368333011865616,"Chisinau","Moldova",46.9277000427246,28.9309997558594,"E. Europe"
"London","United Kingdom",51.874698638916,-0.368333011865616,"Mumbai","India",19.0886993408,72.8678970337,"S. Asia"
"London","United Kingdom",51.874698638916,-0.368333011865616,"Delhi","India",28.5844993591309,77.2058029174805,"S. Asia"
"Paris","France",48.9693984985352,2.44139003753662,"Athens","Greece",37.9364013672,23.9444999695,"S. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Heraklion","Greece",35.3396987915,25.1802997589,"S. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Rhodos","Greece",36.3830986022949,28.1089000701904,"S. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Thessaloniki","Greece",40.5196990966797,22.9708995819092,"S. Europe"
"Moscow","Russia",55.972599,37.4146,"Athens","Greece",37.9364013672,23.9444999695,"S. Europe"
"Moscow","Russia",55.972599,37.4146,"Kerkyra/corfu","Greece",39.6018981933594,19.9116992950439,"S. Europe"
"Moscow","Russia",55.972599,37.4146,"Heraklion","Greece",35.3396987915,25.1802997589,"S. Europe"
"Moscow","Russia",55.972599,37.4146,"Kos","Greece",36.7933006286621,27.0916996002197,"S. Europe"
"Moscow","Russia",55.972599,37.4146,"Rhodos","Greece",36.3830986022949,28.1089000701904,"S. Europe"
"Moscow","Russia",55.972599,37.4146,"Thessaloniki","Greece",40.5196990966797,22.9708995819092,"S. Europe"
"Frankfurt","Germany",50.0333333,8.5705556,"Athens","Greece",37.9364013672,23.9444999695,"S. Europe"
"Frankfurt","Germany",50.0333333,8.5705556,"Heraklion","Greece",35.3396987915,25.1802997589,"S. Europe"
"Frankfurt","Germany",50.0333333,8.5705556,"Thessaloniki","Greece",40.5196990966797,22.9708995819092,"S. Europe"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Athens","Greece",37.9364013672,23.9444999695,"S. Europe"
"London","United Kingdom",51.874698638916,-0.368333011865616,"Athens","Greece",37.9364013672,23.9444999695,"S. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Agen","France",44.1747016906738,0.590556025505066,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Aurillac","France",44.8913993835449,2.42194008827209,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Brive","France",48.780001,5.980003,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Caen","France",49.1733016967773,-0.449999988079071,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Castres","France",43.5563011169434,2.2891800403595,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Lannion","France",48.7543983459473,-3.47165989875793,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Tarbes","France",43.1786994934082,-0.006438999902457,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"La Rochelle","France",43.4488983154297,1.26332998275757,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Lorient","France",47.7606010437012,-3.44000005722046,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Perpignan","France",42.7403984069824,2.87067008018494,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Rodez","France",44.407901763916,2.48267006874084,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Quimper","France",47.9749984741211,-4.16778993606567,"W. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Tbilisi","Georgia",41.6692008972,44.95470047,"W. Asia"
"Moscow","Russia",55.972599,37.4146,"Batumi","Georgia",41.6102981567,41.5997009277,"W. Asia"
"Moscow","Russia",55.972599,37.4146,"Kutaisi","Georgia",42.176700592,42.4826011658,"W. Asia"
"Moscow","Russia",55.972599,37.4146,"Tbilisi","Georgia",41.6692008972,44.95470047,"W. Asia"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Charlotte","United States",35.2140007019043,-80.9430999755859,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Dallas-Fort Worth","United States",32.896800994873,-97.0380020141602,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"London","United Kingdom",51.874698638916,-0.368333011865616,"N. Europe"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Miami","United States",25.7931995391846,-80.2906036376953,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Chicago","United States",41.7859992980957,-87.7524032592773,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Philadelphia","United States",40.08190155,-75.01059723,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Phoenix","United States",33.4342994689941,-112.012001037598,"N. America"
"Paris","France",48.9693984985352,2.44139003753662,"Charlotte","United States",35.2140007019043,-80.9430999755859,"N. America"
"Paris","France",48.9693984985352,2.44139003753662,"Dallas-Fort Worth","United States",32.896800994873,-97.0380020141602,"N. America"
"Paris","France",48.9693984985352,2.44139003753662,"New York","United States",40.77719879,-73.87259674,"N. America"
"Paris","France",48.9693984985352,2.44139003753662,"Kuala Lumpur","Malaysia",2.745579957962,101.70999908447,"S.E. Asia"
"Paris","France",48.9693984985352,2.44139003753662,"London","United Kingdom",51.874698638916,-0.368333011865616,"N. Europe"
"Paris","France",48.9693984985352,2.44139003753662,"Miami","United States",25.7931995391846,-80.2906036376953,"N. America"
"Paris","France",48.9693984985352,2.44139003753662,"Chicago","United States",41.7859992980957,-87.7524032592773,"N. America"
"Paris","France",48.9693984985352,2.44139003753662,"Philadelphia","United States",40.08190155,-75.01059723,"N. America"
"Frankfurt","Germany",50.0333333,8.5705556,"Charlotte","United States",35.2140007019043,-80.9430999755859,"N. America"
"Frankfurt","Germany",50.0333333,8.5705556,"Dallas-Fort Worth","United States",32.896800994873,-97.0380020141602,"N. America"
"Frankfurt","Germany",50.0333333,8.5705556,"Kuala Lumpur","Malaysia",2.745579957962,101.70999908447,"S.E. Asia"
"Frankfurt","Germany",50.0333333,8.5705556,"London","United Kingdom",51.874698638916,-0.368333011865616,"N. Europe"
"Frankfurt","Germany",50.0333333,8.5705556,"Philadelphia","United States",40.08190155,-75.01059723,"N. America"
"Istanbul","Turkey",40.9768981934,28.8145999908,"London","United Kingdom",51.874698638916,-0.368333011865616,"N. Europe"
"New York","United States",40.77719879,-73.87259674,"Amman","Jordan",31.7226009369,35.9931983948,"W. Asia"
"New York","United States",40.77719879,-73.87259674,"Antigua","Antigua and Barbuda",17.1367,-61.792702,"Caribbean"
"New York","United States",40.77719879,-73.87259674,"Abu Dhabi","United Arab Emirates",24.4330005645752,54.6511001586914,"W. Asia"
"New York","United States",40.77719879,-73.87259674,"Austin","United States",30.1944999694824,-97.6698989868164,"N. America"
"New York","United States",40.77719879,-73.87259674,"Barcelona","Spain",41.297100067139,2.0784599781036,"S. Europe"
"New York","United States",40.77719879,-73.87259674,"Bermuda","Bermuda",32.3639984130859,-64.6787033081055,"N. America"
"New York","United States",40.77719879,-73.87259674,"Nashville","United States",36.1245002746582,-86.6781997680664,"N. America"
"New York","United States",40.77719879,-73.87259674,"Boston","United States",42.36429977,-71.00520325,"N. America"
"New York","United States",40.77719879,-73.87259674,"Baltimore","United States",39.17539978,-76.66829681,"N. America"
"New York","United States",40.77719879,-73.87259674,"Caracas","Venezuela",10.2861108779907,-66.8161087036133,"S. America"
"New York","United States",40.77719879,-73.87259674,"Paris","France",48.9693984985352,2.44139003753662,"W. Europe"
"New York","United States",40.77719879,-73.87259674,"Cleveland","United States",41.4117012024,-81.8498001099,"N. America"
"New York","United States",40.77719879,-73.87259674,"Charlotte","United States",35.2140007019043,-80.9430999755859,"N. America"
"New York","United States",40.77719879,-73.87259674,"Columbus","United States",39.813801,-82.927803,"N. America"
"New York","United States",40.77719879,-73.87259674,"Cancun","Mexico",21.0365009308,-86.8770980835,"C. America"
"New York","United States",40.77719879,-73.87259674,"Cincinnati","United States",39.0488014221,-84.6678009033,"N. America"
"New York","United States",40.77719879,-73.87259674,"Washington","United States",38.8521,-77.037697,"N. America"
